District_Name,MSME_Registered_2021,MSME_Registered_2022,Manufacturing_Units,Services_Units,Trading_Units,Digital_Txn_Score,Utility_Bill_Compliance_Pct,Loan_Default_Rate_Pct,Urban_Rural_Ratio,Infrastructure_Index,Internet_Penetration_Pct,Govt_Scheme_Enrollments,Employment_Generated,Avg_Annual_Turnover_Lakhs,MSME_Density,Growth_Rate,Sector_Diversity_Index,Economic_Activity_Score,Health_Score,Risk_Level,Segment
Hamirpur,7365,9633,3058,4580,1674,45,65,12.84,3.8,94,79,4730,66968,65,7365,30.79,3229.73,0.5242,6,High,Declining
Hapur,9392,11433,5014,4019,1478,54,87,32.85,3.93,55,32,7081,42262,353,9392,21.73,4062.36,0.5786,42,Medium,Declining
Hardoi,10075,12216,3843,5277,2545,29,60,2.33,3.81,38,63,7149,91583,748,10075,21.25,4160.13,0.5681,91,Low,Declining
Hathras,3498,3812,1348,1766,541,74,78,15.21,2.03,39,25,6441,25309,481,3498,8.98,1409.76,0.341,58,Medium,Stable
Jalaun,15231,16987,6635,6982,1760,17,75,33.9,1.16,76,40,8217,66398,124,15231,11.53,6390.5,0.6246,14,High,Emerging
Jaunpur,12790,13406,4326,5441,2638,25,72,19.63,1.91,37,77,7141,105476,798,12790,4.82,5014.36,0.638,97,Low,Emerging
Jhansi,8093,9426,4188,3283,1193,23,69,15.4,4.04,66,73,7202,76391,134,8093,16.47,3426.99,0.5145,15,High,Declining
Kannauj,12238,15741,6965,5015,3794,85,76,20.33,0.83,68,41,1531,59900,400,12238,28.62,5068.0,0.6111,48,Medium,Emerging
Kanpur Dehat,3977,4352,1307,2086,1057,24,62,20.58,2.41,33,63,4461,21256,648,3977,9.43,1522.56,0.3405,79,Low,Stable
Kanpur Nagar,2576,2785,973,1337,660,75,97,25.88,1.2,34,47,7848,20973,65,2576,8.11,959.27,0.3483,6,High,Stable
Kasganj,4521,5143,1595,2194,799,41,49,5.34,2.7,50,15,5315,37241,641,4521,13.76,1888.26,0.3034,78,Low,Stable
Kaushambi,2059,2221,681,816,227,72,93,9.5,3.91,20,35,4837,9822,520,2059,7.87,886.55,0.3121,63,Medium,Stable
Kheri,11099,12853,3308,4753,3075,60,44,20.74,3.99,73,69,5054,58439,758,11099,15.8,4613.66,0.6235,92,Low,Declining
Kushinagar,10447,12005,4464,5344,1971,34,75,30.48,1.22,22,20,3377,64255,809,10447,14.91,4221.32,0.4982,99,Low,Declining
Lalitpur,12400,14617,5123,7007,3581,67,73,20.1,4.1,35,83,7930,86570,103,12400,17.88,4755.18,0.6965,11,High,Emerging
Lucknow,6945,9189,2391,4386,2247,94,91,9.11,2.75,93,19,2380,60567,815,6945,32.31,3003.69,0.5517,100,Low,Declining
Maharajganj,8439,10892,3330,4966,2482,71,70,24.11,1.71,94,17,5092,58213,125,8439,29.07,3551.49,0.5144,14,High,Declining
